"u:0","u:1","u:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0
1.4209e-05,3.1873e-05,0,0.00048,0.00044,0
3.3622e-05,7.5476e-05,0,0.00096,0.00088,0
5.572e-05,0.00012524,0,0.00144,0.00132,0
7.9791e-05,0.0001792,0,0.00192,0.00176,0
0.00010559,0.00023629,0,0.0024,0.0022,0
0.00013304,0.00029582,0,0.00288,0.00264,0
0.00016218,0.00035732,0,0.00336,0.00308,0
0.00019308,0.00042047,0,0.00384,0.00352,0
0.00022582,0.00048507,0,0.00432,0.00396,0
0.00026049,0.00055101,0,0.0048,0.0044,0
0.00029717,0.00061823,0,0.00528,0.00484,0
0.00033593,0.00068675,0,0.00576,0.00528,0
0.00037682,0.00075663,0,0.00624,0.00572,0
0.00041988,0.00082797,0,0.00672,0.00616,0
0.00046512,0.00090089,0,0.0072,0.0066,0
0.00051254,0.00097555,0,0.00768,0.00704,0
0.00056211,0.0010521,0,0.00816,0.00748,0
0.00061379,0.0011309,0,0.00864,0.00792,0
0.00066753,0.0012119,0,0.00912,0.00836,0
0.00072323,0.0012955,0,0.0096,0.0088,0
0.0007808,0.0013819,0,0.01008,0.00924,0
0.00084012,0.0014713,0,0.01056,0.00968,0
0.00090107,0.001564,0,0.01104,0.01012,0
0.0009635,0.0016602,0,0.01152,0.01056,0
0.0010273,0.0017602,0,0.012,0.011,0
0.0010922,0.0018642,0,0.01248,0.01144,0
0.001158,0.0019724,0,0.01296,0.01188,0
0.0012247,0.0020852,0,0.01344,0.01232,0
0.0012919,0.0022026,0,0.01392,0.01276,0
0.0013594,0.0023251,0,0.0144,0.0132,0
0.0014271,0.0024527,0,0.01488,0.01364,0
0.0014947,0.0025858,0,0.01536,0.01408,0
0.0015619,0.0027244,0,0.01584,0.01452,0
0.0016286,0.0028689,0,0.01632,0.01496,0
0.0016944,0.0030194,0,0.0168,0.0154,0
0.0017592,0.0031761,0,0.01728,0.01584,0
0.0018226,0.0033391,0,0.01776,0.01628,0
0.0018845,0.0035087,0,0.01824,0.01672,0
0.0019445,0.003685,0,0.01872,0.01716,0
0.0020024,0.003868,0,0.0192,0.0176,0
0.002058,0.0040581,0,0.01968,0.01804,0
0.002111,0.0042551,0,0.02016,0.01848,0
0.0021612,0.0044594,0,0.02064,0.01892,0
0.0022082,0.004671,0,0.02112,0.01936,0
0.0022519,0.0048899,0,0.0216,0.0198,0
0.0022921,0.0051163,0,0.02208,0.02024,0
0.0023285,0.0053502,0,0.02256,0.02068,0
0.0023608,0.0055917,0,0.02304,0.02112,0
0.0023889,0.0058409,0,0.02352,0.02156,0
0.0024126,0.0060977,0,0.024,0.022,0
0.0024316,0.0063623,0,0.02448,0.02244,0
0.0024457,0.0066346,0,0.02496,0.02288,0
0.0024547,0.0069148,0,0.02544,0.02332,0
0.0024586,0.0072027,0,0.02592,0.02376,0
0.002457,0.0074985,0,0.0264,0.0242,0
0.0024498,0.0078022,0,0.02688,0.02464,0
0.0024369,0.0081137,0,0.02736,0.02508,0
0.002418,0.0084332,0,0.02784,0.02552,0
0.002393,0.0087605,0,0.02832,0.02596,0
0.0023619,0.0090957,0,0.0288,0.0264,0
0.0023243,0.0094388,0,0.02928,0.02684,0
0.0022803,0.0097898,0,0.02976,0.02728,0
0.0022296,0.010149,0,0.03024,0.02772,0
0.0021722,0.010516,0,0.03072,0.02816,0
0.0021078,0.01089,0,0.0312,0.0286,0
0.0020364,0.011273,0,0.03168,0.02904,0
0.0019578,0.011664,0,0.03216,0.02948,0
0.001872,0.012062,0,0.03264,0.02992,0
0.0017788,0.012468,0,0.03312,0.03036,0
0.001678,0.012883,0,0.0336,0.0308,0
0.0015696,0.013305,0,0.03408,0.03124,0
0.0014534,0.013735,0,0.03456,0.03168,0
0.0013294,0.014173,0,0.03504,0.03212,0
0.0011973,0.01462,0,0.03552,0.03256,0
0.001057,0.015074,0,0.036,0.033,0
0.00090846,0.015535,0,0.03648,0.03344,0
0.00075149,0.016005,0,0.03696,0.03388,0
0.00058595,0.016483,0,0.03744,0.03432,0
0.00041168,0.016969,0,0.03792,0.03476,0
0.00022855,0.017462,0,0.0384,0.0352,0
3.6367e-05,0.017963,0,0.03888,0.03564,0
-0.00016502,0.018472,0,0.03936,0.03608,0
-0.00037581,0.018989,0,0.03984,0.03652,0
-0.00059618,0.019513,0,0.04032,0.03696,0
-0.00082634,0.020045,0,0.0408,0.0374,0
-0.0010665,0.020584,0,0.04128,0.03784,0
-0.0013169,0.021131,0,0.04176,0.03828,0
-0.0015779,0.021684,0,0.04224,0.03872,0
-0.0018496,0.022245,0,0.04272,0.03916,0
-0.0021325,0.022813,0,0.0432,0.0396,0
-0.0024268,0.023386,0,0.04368,0.04004,0
-0.0027329,0.023966,0,0.04416,0.04048,0
-0.0030513,0.024552,0,0.04464,0.04092,0
-0.0033826,0.025143,0,0.04512,0.04136,0
-0.0037273,0.025738,0,0.0456,0.0418,0
-0.0040862,0.026338,0,0.04608,0.04224,0
-0.0044607,0.02694,0,0.04656,0.04268,0
-0.0048525,0.027545,0,0.04704,0.04312,0
-0.0052656,0.02815,0,0.04752,0.04356,0
-0.0057089,0.028753,0,0.048,0.044,0
0,0,0,0,0.00044,0
1.8289e-05,3.821e-05,0,0.00048,0.0008772,0
3.9151e-05,8.397e-05,0,0.00096,0.0013144,0
6.2157e-05,0.00013494,0,0.00144,0.0017516,0
8.7012e-05,0.00018974,0,0.00192,0.0021888,0
0.0001136,0.00024747,0,0.0024,0.002626,0
0.00014191,0.00030751,0,0.00288,0.0030632,0
0.00017198,0.00036945,0,0.00336,0.0035004,0
0.00020388,0.000433,0,0.00384,0.0039376,0
0.00023769,0.00049797,0,0.00432,0.0043748,0
0.00027347,0.00056427,0,0.0048,0.004812,0
0.0003113,0.00063184,0,0.00528,0.0052492,0
0.00035121,0.00070072,0,0.00576,0.0056864,0
0.00039325,0.00077097,0,0.00624,0.0061236,0
0.00043742,0.00084267,0,0.00672,0.0065608,0
0.00048373,0.00091598,0,0.0072,0.006998,0
0.00053215,0.00099104,0,0.00768,0.0074352,0
0.00058265,0.001068,0,0.00816,0.0078724,0
0.00063517,0.0011472,0,0.00864,0.0083096,0
0.00068962,0.0012286,0,0.00912,0.0087468,0
0.00074593,0.0013127,0,0.0096,0.009184,0
0.00080399,0.0013995,0,0.01008,0.0096212,0
0.00086366,0.0014894,0,0.01056,0.010058,0
