Time Limit,Model Type,MSE Learned,MSE Test,Level,Hidden Layers and Units,run,rootdir
"[0, 10]",SG,0.00031156986,0.0002334028,2,3X5,"FBPINN_SG_SaturatedGrowthModel_FCN_[1, 2]-lev_1.9-ww_3-hl_5-hu_200-n_[0, 10]-tl",SLvsML_simple/SGMultilevel\0-10
"[0, 10]",SG,7.711197e-05,8.7498214e-05,1,3X5,"FBPINN_SG_SaturatedGrowthModel_FCN_[1]-lev_1.9-ww_3-hl_5-hu_200-n_[0, 10]-tl",SLvsML_simple/SGMultilevel\0-10
"[0, 10]",SG,8.1674266e-08,1.7935628e-05,3,3X5,"FBPINN_SG_SaturatedGrowthModel_FCN_[1, 2, 4]-lev_1.9-ww_3-hl_5-hu_200-n_[0, 10]-tl",SLvsML_simple/SGMultilevel\0-10
"[0, 10]",SG,7.711197e-05,8.7498214e-05,1,3X5,"FBPINN_SG_SaturatedGrowthModel_FCN_[1]-lev_1.9-ww_3-hl_5-hu_200-n_[0, 10]-tl",SLvsML_simple/SGMultilevel\0-10
"[10, 24]",SG,5.576625e-05,0.0152713405,2,3X5,"FBPINN_SG_SaturatedGrowthModel_FCN_[1, 2]-lev_1.9-ww_3-hl_5-hu_200-n_[10, 24]-tl",SLvsML_simple/SGMultilevel\10-24
"[10, 24]",SG,3.5747468e-07,0.0003400289,1,3X5,"FBPINN_SG_SaturatedGrowthModel_FCN_[1]-lev_1.9-ww_3-hl_5-hu_200-n_[10, 24]-tl",SLvsML_simple/SGMultilevel\10-24
"[10, 24]",SG,7.1653735e-06,0.00025372402,3,3X5,"FBPINN_SG_SaturatedGrowthModel_FCN_[1, 2, 4]-lev_1.9-ww_3-hl_5-hu_200-n_[10, 24]-tl",SLvsML_simple/SGMultilevel\10-24
"[10, 24]",SG,3.5747468e-07,0.0003400289,1,3X5,"FBPINN_SG_SaturatedGrowthModel_FCN_[1]-lev_1.9-ww_3-hl_5-hu_200-n_[10, 24]-tl",SLvsML_simple/SGMultilevel\10-24
"[0, 24]",SG,0.000121403966,0.00013351193,2,3X5,"FBPINN_SG_SaturatedGrowthModel_FCN_[1, 2]-lev_1.9-ww_3-hl_5-hu_200-n_[0, 24]-tl",SLvsML_simple/SGMultilevel\0-24
"[0, 24]",SG,7.327083e-05,0.00016563018,1,3X5,"FBPINN_SG_SaturatedGrowthModel_FCN_[1]-lev_1.9-ww_3-hl_5-hu_200-n_[0, 24]-tl",SLvsML_simple/SGMultilevel\0-24
"[0, 24]",SG,1.1016877e-05,7.0066264e-05,3,3X5,"FBPINN_SG_SaturatedGrowthModel_FCN_[1, 2, 4]-lev_1.9-ww_3-hl_5-hu_200-n_[0, 24]-tl",SLvsML_simple/SGMultilevel\0-24
"[0, 24]",SG,7.327083e-05,0.00016563018,1,3X5,"FBPINN_SG_SaturatedGrowthModel_FCN_[1]-lev_1.9-ww_3-hl_5-hu_200-n_[0, 24]-tl",SLvsML_simple/SGMultilevel\0-24
"[0, 10]",Surv,0.00022828425,0.00020908685,2,3X5,"FBPINN_Surv_CompetitionModel_FCN_[1, 2]-lev_1.9-ww_3-hl_5-hu_200-n_[0, 10]-tl",SLvsML_simple/SurvMultilevel\0-10
"[0, 10]",Surv,0.00010907115,9.46688e-05,1,3X5,"FBPINN_Surv_CompetitionModel_FCN_[1]-lev_1.9-ww_3-hl_5-hu_200-n_[0, 10]-tl",SLvsML_simple/SurvMultilevel\0-10
